ชื่อระบบ,ชนิด,ข้อมูลล่าสุด,ย้อนหลัง
ระบบบัญชีสามมิติ+ฐานข้อมูล,Hyper-V+Standard,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบ Active Directory,Hyper-V+Windows,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบ Active Directory Federation Services,Hyper-V+Standard,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบให้บริการทั่วไป,Hyper-V,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบ Domain Name System,Standard,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบสารบรรณอิเล็กทรอนิกส์และจัดเก็บเอกสาร,Hyper-V,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบ E-Meeting+ฐานข้อมูล,Standard,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบ ExitExam+ฐานข้อมูล,Standard,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบยืนยันตัวตน Buu-Wifi,Standard,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบรับปริญญา,Standard,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบ E-Learning,Standard,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบฐานข้อมูล Microsoft SQL Server,MS-SQL-Server,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบฐานข้อมูล Oracle,Oracle,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบทะเบียน,Hyper-V,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบพัฒนาโปรแกรม+ฐานข้อมูล,Hyper-V+Standard,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบบริการเว็บไซต์+ฐานข้อมูล,Hyper-V+Standard,1 กุมภาพันธ์ 2564,19 มกราคม 2564
ระบบเว็บไซต์อื่นๆ,Hyper-V+Standard,1 กุมภาพันธ์ 2564,19 มกราคม 2564
